IPP_CODE,IPO_SEQN,IPP_TITL,FAC_CODE,FAC_NAME,IPP_DPTC,DPT_NAME,IPO_AYRC,AYR_SNAM,IPO_BEGD,MOA_NAME,,,,
DDNPRFSING01,14,EngD Professional Services,ENG,Faculty of Engineering Sciences,ENGSC_ENG,Faculty of Engineering Sciences,2013,2013/14,23-Sep-13,Full-time,FULL_TIME,23-08-13,2013-08-23,"insert into PROGRAM_INSTANCE(program_id, deadline, sequence, study_option) values((select id from PROGRAM where code = 'DDNPRFSING01'), '2013-08-23',14,'FULL_TIME');"
DDOTRAAORT01,1,Doc. Orth in Trauma and Orthopaedics,MDS,Faculty of Medical Sciences,SURGS_MDS,Division of Surgery and Interventional Science,2011,2011/12,26-Sep-11,Modular/flexible study,,,,
DDOTRAAORT01,3,Doc. Orth in Trauma and Orthopaedics,MDS,Faculty of Medical Sciences,SURGS_MDS,Division of Surgery and Interventional Science,2013,2013/14,23-Sep-13,Modular/flexible study,,,,
DDOTRAAORT01,2,Doc. Orth in Trauma and Orthopaedics,MDS,Faculty of Medical Sciences,SURGS_MDS,Division of Surgery and Interventional Science,2012,2012/13,24-Sep-12,Modular/flexible study,,,,
DDRCCSSING01,1,Doctor in Clinical Communication Science,BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2012,2012/13,24-Sep-12,Part-time,,,,
DDRSLTSING01,5,Doctor in Speech and Language Therapy,BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2012,2012/13,24-Sep-12,Part-time,,,,
DDRSLTSING01,4,Doctor in Speech and Language Therapy,BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2011,2011/12,26-Sep-11,Part-time,,,,
DDRSLTSING01,15,Doctor in Speech and Language Therapy,BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2013,2013/14,23-Sep-13,Part-time,,,,
DDYPSYSCAP01,11,DPsychotherapy Child and Adolescent Psychoanalytic Psychotherapy,BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2011,2011/12,26-Sep-11,Part-time,,,,
DDYPSYSCAP01,13,DPsychotherapy Child and Adolescent Psychoanalytic Psychotherapy,BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2012,2012/13,24-Sep-12,Part-time,,,,
DDYPSYSCAP01,16,DPsychotherapy Child and Adolescent Psychoanalytic Psychotherapy,BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2013,2013/14,23-Sep-13,Part-time,,,,
DDYPSYSCLI01,15,DClinPsy Clinical Psychology,BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2013,2013/14,23-Sep-13,Full-time,,,,
RMPPHISING09,13,MPhilStud Philosophical Studies,ART,Faculty of Arts and Humanities,PHILO_ART,Philosophy,2013,2013/14,23-Sep-13,Full-time,,,,
RRDAMRSING01,2,Research Degree: Institute of the Americas,SHS,Faculty of Social and Historical Sciences,AMERC_SHS,Institute of the Americas,2012,2012/13,24-Sep-12,Part-time,,,,
RRDAMRSING01,1,Research Degree: Institute of the Americas,SHS,Faculty of Social and Historical Sciences,AMERC_SHS,Institute of the Americas,2012,2012/13,24-Sep-12,Full-time,,,,
RRDAMRSING01,4,Research Degree: Institute of the Americas,SHS,Faculty of Social and Historical Sciences,AMERC_SHS,Institute of the Americas,2013,2013/14,23-Sep-13,Part-time,,,,
RRDAMRSING01,3,Research Degree: Institute of the Americas,SHS,Faculty of Social and Historical Sciences,AMERC_SHS,Institute of the Americas,2013,2013/14,23-Sep-13,Full-time,,,,
RRDANTSING01,12,Research Degree:  Anthropology,SHS,Faculty of Social and Historical Sciences,ANTHR_SHS,Anthropology,2012,2012/13,24-Sep-12,Full-time,,,,
RRDANTSING01,11,Research Degree:  Anthropology,SHS,Faculty of Social and Historical Sciences,ANTHR_SHS,Anthropology,2011,2011/12,26-Sep-11,Part-time,,,,
RRDANTSING01,13,Research Degree:  Anthropology,SHS,Faculty of Social and Historical Sciences,ANTHR_SHS,Anthropology,2012,2012/13,24-Sep-12,Part-time,,,,
RRDANTSING01,10,Research Degree:  Anthropology,SHS,Faculty of Social and Historical Sciences,ANTHR_SHS,Anthropology,2011,2011/12,26-Sep-11,Full-time,,,,
RRDANTSING01,9,Research Degree:  Anthropology,SHS,Faculty of Social and Historical Sciences,ANTHR_SHS,Anthropology,2010,2010/11,27-Sep-10,Part-time,,,,
RRDANTSING01,8,Research Degree:  Anthropology,SHS,Faculty of Social and Historical Sciences,ANTHR_SHS,Anthropology,2010,2010/11,27-Sep-10,Full-time,,,,
RRDANTSING01,15,Research Degree:  Anthropology,SHS,Faculty of Social and Historical Sciences,ANTHR_SHS,Anthropology,2013,2013/14,23-Sep-13,Part-time,,,,
RRDANTSING01,14,Research Degree:  Anthropology,SHS,Faculty of Social and Historical Sciences,ANTHR_SHS,Anthropology,2013,2013/14,23-Sep-13,Full-time,,,,
RRDARLSING01,15,Research Degree:  Institute of Archaeology,SHS,Faculty of Social and Historical Sciences,ARCLG_SHS,Institute of Archaeology,2013,2013/14,23-Sep-13,Part-time,,,,
RRDARLSING01,14,Research Degree:  Institute of Archaeology,SHS,Faculty of Social and Historical Sciences,ARCLG_SHS,Institute of Archaeology,2013,2013/14,23-Sep-13,Full-time,,,,
RRDARLSING01,10,Research Degree:  Institute of Archaeology,SHS,Faculty of Social and Historical Sciences,ARCLG_SHS,Institute of Archaeology,2011,2011/12,26-Sep-11,Full-time,,,,
RRDARLSING01,11,Research Degree:  Institute of Archaeology,SHS,Faculty of Social and Historical Sciences,ARCLG_SHS,Institute of Archaeology,2011,2011/12,26-Sep-11,Part-time,,,,
RRDARLSING01,12,Research Degree:  Institute of Archaeology,SHS,Faculty of Social and Historical Sciences,ARCLG_SHS,Institute of Archaeology,2012,2012/13,24-Sep-12,Full-time,,,,
RRDARLSING01,13,Research Degree:  Institute of Archaeology,SHS,Faculty of Social and Historical Sciences,ARCLG_SHS,Institute of Archaeology,2012,2012/13,24-Sep-12,Part-time,,,,
RRDBARSGST01,12,Research Degree:  Bartlett School of Graduate Studies,BEN,Faculty of the Built Environment,BSGST_BEN,Bartlett School of Graduate Studies,2012,2012/13,24-Sep-12,Full-time,,,,
RRDBARSGST01,15,Research Degree:  Bartlett School of Graduate Studies,BEN,Faculty of the Built Environment,BSGST_BEN,Bartlett School of Graduate Studies,2013,2013/14,23-Sep-13,Part-time,,,,
RRDBARSGST01,14,Research Degree:  Bartlett School of Graduate Studies,BEN,Faculty of the Built Environment,BSGST_BEN,Bartlett School of Graduate Studies,2013,2013/14,23-Sep-13,Full-time,,,,
RRDBARSGST01,11,Research Degree:  Bartlett School of Graduate Studies,BEN,Faculty of the Built Environment,BSGST_BEN,Bartlett School of Graduate Studies,2011,2011/12,26-Sep-11,Part-time,,,,
RRDBARSGST01,13,Research Degree:  Bartlett School of Graduate Studies,BEN,Faculty of the Built Environment,BSGST_BEN,Bartlett School of Graduate Studies,2012,2012/13,24-Sep-12,Part-time,,,,
RRDBARSGST01,10,Research Degree:  Bartlett School of Graduate Studies,BEN,Faculty of the Built Environment,BSGST_BEN,Bartlett School of Graduate Studies,2011,2011/12,26-Sep-11,Full-time,,,,
RRDBARSING01,13,Research Degree:  Bartlett School of Architecture,BEN,Faculty of the Built Environment,BSARC_BEN,Bartlett School of Architecture,2012,2012/13,24-Sep-12,Part-time,,,,
RRDBARSING01,11,Research Degree:  Bartlett School of Architecture,BEN,Faculty of the Built Environment,BSARC_BEN,Bartlett School of Architecture,2011,2011/12,26-Sep-11,Part-time,,,,
RRDBARSING01,15,Research Degree:  Bartlett School of Architecture,BEN,Faculty of the Built Environment,BSARC_BEN,Bartlett School of Architecture,2013,2013/14,23-Sep-13,Part-time,,,,
RRDBARSING01,10,Research Degree:  Bartlett School of Architecture,BEN,Faculty of the Built Environment,BSARC_BEN,Bartlett School of Architecture,2011,2011/12,26-Sep-11,Full-time,,,,
RRDBARSING01,12,Research Degree:  Bartlett School of Architecture,BEN,Faculty of the Built Environment,BSARC_BEN,Bartlett School of Architecture,2012,2012/13,24-Sep-12,Full-time,,,,
RRDBARSING01,14,Research Degree:  Bartlett School of Architecture,BEN,Faculty of the Built Environment,BSARC_BEN,Bartlett School of Architecture,2013,2013/14,23-Sep-13,Full-time,,,,
RRDBARSPLN01,15,Research Degree:  Bartlett School of Planning,BEN,Faculty of the Built Environment,BSPLN_BEN,Bartlett School of Planning,2013,2013/14,23-Sep-13,Part-time,,,,
RRDBARSPLN01,12,Research Degree:  Bartlett School of Planning,BEN,Faculty of the Built Environment,BSPLN_BEN,Bartlett School of Planning,2012,2012/13,24-Sep-12,Full-time,,,,
RRDBARSPLN01,10,Research Degree:  Bartlett School of Planning,BEN,Faculty of the Built Environment,BSPLN_BEN,Bartlett School of Planning,2011,2011/12,26-Sep-11,Full-time,,,,
RRDBARSPLN01,11,Research Degree:  Bartlett School of Planning,BEN,Faculty of the Built Environment,BSPLN_BEN,Bartlett School of Planning,2011,2011/12,26-Sep-11,Part-time,,,,
RRDBARSPLN01,14,Research Degree:  Bartlett School of Planning,BEN,Faculty of the Built Environment,BSPLN_BEN,Bartlett School of Planning,2013,2013/14,23-Sep-13,Full-time,,,,
RRDBARSPLN01,13,Research Degree:  Bartlett School of Planning,BEN,Faculty of the Built Environment,BSPLN_BEN,Bartlett School of Planning,2012,2012/13,24-Sep-12,Part-time,,,,
RRDBENSING01,13,Research Degree:  Biochemical Engineering,ENG,Faculty of Engineering Sciences,BENGN_ENG,Biochemical Engineering,2012,2012/13,24-Sep-12,Part-time,PART_TIME,24-08-12,2012-08-24,"insert into PROGRAM_INSTANCE(program_id, deadline, sequence, study_option) values((select id from PROGRAM where code = 'RRDBENSING01'), '2012-08-24',13,'PART_TIME');"
RRDBENSING01,11,Research Degree:  Biochemical Engineering,ENG,Faculty of Engineering Sciences,BENGN_ENG,Biochemical Engineering,2011,2011/12,26-Sep-11,Part-time,PART_TIME,,2012-09-24,
RRDBENSING01,10,Research Degree:  Biochemical Engineering,ENG,Faculty of Engineering Sciences,BENGN_ENG,Biochemical Engineering,2011,2011/12,26-Sep-11,Full-time,FULL_TIME,,2013-09-23,
RRDBENSING01,15,Research Degree:  Biochemical Engineering,ENG,Faculty of Engineering Sciences,BENGN_ENG,Biochemical Engineering,2013,2013/14,23-Sep-13,Part-time,PART_TIME,23-08-13,2013-08-23,"insert into PROGRAM_INSTANCE(program_id, deadline, sequence, study_option) values((select id from PROGRAM where code = 'RRDBENSING01'), '2013-08-23',15,'PART_TIME');"
RRDBENSING01,14,Research Degree:  Biochemical Engineering,ENG,Faculty of Engineering Sciences,BENGN_ENG,Biochemical Engineering,2013,2013/14,23-Sep-13,Full-time,FULL_TIME,23-08-13,2013-08-23,"insert into PROGRAM_INSTANCE(program_id, deadline, sequence, study_option) values((select id from PROGRAM where code = 'RRDBENSING01'), '2013-08-23',14,'FULL_TIME');"
RRDBENSING01,12,Research Degree:  Biochemical Engineering,ENG,Faculty of Engineering Sciences,BENGN_ENG,Biochemical Engineering,2012,2012/13,24-Sep-12,Full-time,FULL_TIME,24-08-12,2012-08-24,"insert into PROGRAM_INSTANCE(program_id, deadline, sequence, study_option) values((select id from PROGRAM where code = 'RRDBENSING01'), '2012-08-24',12,'FULL_TIME');"
RRDBISS4YR01,14,Research Degree: Biosciences - London Pain Consortium (4 years),LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2013,2013/14,23-Sep-13,Full-time,,,,
RRDBISS4YR01,10,Research Degree: Biosciences - London Pain Consortium (4 years),LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2011,2011/12,26-Sep-11,Full-time,,,,
RRDBISS4YR01,12,Research Degree: Biosciences - London Pain Consortium (4 years),LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2012,2012/13,24-Sep-12,Full-time,,,,
RRDBISSBLI01,1,BBSRC London Interdisciplinary Biosciences PhD Consortium,LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2012,2012/13,24-Sep-12,Full-time,,,,
RRDBISSBLI01,4,BBSRC London Interdisciplinary Biosciences PhD Consortium,LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2013,2013/14,23-Sep-13,Full-time,,,,
RRDBISSCDB01,13,Research Degree: Cell and Developmental Biology,LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2012,2012/13,24-Sep-12,Part-time,,,,
RRDBISSCDB01,1,Research Degree: Cell and Developmental Biology,LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2008,2008/09,22-Sep-08,Full-time,,,,
RRDBISSCDB01,15,Research Degree: Cell and Developmental Biology,LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2013,2013/14,23-Sep-13,Part-time,,,,
RRDBISSCDB01,12,Research Degree: Cell and Developmental Biology,LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2012,2012/13,24-Sep-12,Full-time,,,,
RRDBISSCDB01,14,Research Degree: Cell and Developmental Biology,LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2013,2013/14,23-Sep-13,Full-time,,,,
RRDBISSCDB01,11,Research Degree: Cell and Developmental Biology,LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2011,2011/12,26-Sep-11,Part-time,,,,
RRDBISSCDB01,10,Research Degree: Cell and Developmental Biology,LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2011,2011/12,26-Sep-11,Full-time,,,,
RRDBISSGEE01,11,"Research Degree: Genetics, Evolution and Environment",LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2012,2012/13,25-Sep-12,Part-time,,,,
RRDBISSGEE01,10,"Research Degree: Genetics, Evolution and Environment",LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2011,2011/12,26-Sep-11,Part-time,,,,
RRDBISSGEE01,9,"Research Degree: Genetics, Evolution and Environment",LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2012,2012/13,24-Sep-12,Full-time,,,,
RRDBISSGEE01,8,"Research Degree: Genetics, Evolution and Environment",LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2011,2011/12,26-Sep-11,Full-time,,,,
RRDBISSGEE01,13,"Research Degree: Genetics, Evolution and Environment",LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2013,2013/14,23-Sep-13,Part-time,,,,
RRDBISSGEE01,12,"Research Degree: Genetics, Evolution and Environment",LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2013,2013/14,23-Sep-13,Full-time,,,,
RRDBISSHME01,2,Research Degree: History of Medicine,LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2013,2013/14,23-Sep-13,Part-time,,,,
RRDBISSHME01,1,Research Degree: History of Medicine,LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2013,2013/14,23-Sep-13,Full-time,,,,
RRDBISSHME01,4,Research Degree: History of Medicine,LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2012,2012/13,24-Sep-12,Full-time,,,,
RRDBISSNPP01,8,"Research Degree: Neuroscience, Physiology and Pharmacology",LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2011,2011/12,26-Sep-11,Full-time,,,,
RRDBISSNPP01,13,"Research Degree: Neuroscience, Physiology and Pharmacology",LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2013,2013/14,23-Sep-13,Part-time,,,,
RRDBISSNPP01,12,"Research Degree: Neuroscience, Physiology and Pharmacology",LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2013,2013/14,23-Sep-13,Full-time,,,,
RRDBISSNPP01,9,"Research Degree: Neuroscience, Physiology and Pharmacology",LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2012,2012/13,24-Sep-12,Full-time,,,,
RRDBISSNPP01,10,"Research Degree: Neuroscience, Physiology and Pharmacology",LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2011,2011/12,26-Sep-11,Part-time,,,,
RRDBISSNPP01,11,"Research Degree: Neuroscience, Physiology and Pharmacology",LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2012,2012/13,24-Sep-12,Part-time,,,,
RRDBISSSMB01,9,Research Degree: Structural and Molecular Biology,LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2012,2012/13,24-Sep-12,Full-time,,,,
RRDBISSSMB01,10,Research Degree: Structural and Molecular Biology,LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2011,2011/12,26-Sep-11,Part-time,,,,
RRDBISSSMB01,11,Research Degree: Structural and Molecular Biology,LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2012,2012/13,24-Sep-12,Part-time,,,,
RRDBISSSMB01,12,Research Degree: Structural and Molecular Biology,LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2013,2013/14,23-Sep-13,Full-time,,,,
RRDBISSSMB01,13,Research Degree: Structural and Molecular Biology,LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2013,2013/14,23-Sep-13,Part-time,,,,
RRDBISSSMB01,8,Research Degree: Structural and Molecular Biology,LIF,Faculty of Life Sciences,BIOSC_LIF,Division of Biosciences,2011,2011/12,26-Sep-11,Full-time,,,,
RRDBMSSING01,1,Research Degree: Faculty of Biomedical Sciences,BMS,Faculty of Biomedical Sciences,BMSCI_BMS,Faculty of Biomedical Sciences,2011,2011/12,26-Sep-11,Full-time,,,,
RRDBMSSING01,8,Research Degree: Faculty of Biomedical Sciences,BMS,Faculty of Biomedical Sciences,BMSCI_BMS,Faculty of Biomedical Sciences,2013,2013/14,23-Sep-13,Part-time,,,,
RRDBMSSING01,7,Research Degree: Faculty of Biomedical Sciences,BMS,Faculty of Biomedical Sciences,BMSCI_BMS,Faculty of Biomedical Sciences,2013,2013/14,23-Sep-13,Full-time,,,,
RRDBMSSING01,6,Research Degree: Faculty of Biomedical Sciences,BMS,Faculty of Biomedical Sciences,BMSCI_BMS,Faculty of Biomedical Sciences,2012,2012/13,24-Sep-12,Full-time,,,,
RRDBMSSING01,5,Research Degree: Faculty of Biomedical Sciences,BMS,Faculty of Biomedical Sciences,BMSCI_BMS,Faculty of Biomedical Sciences,2012,2012/13,24-Sep-12,Part-time,,,,
RRDBMSSING01,4,Research Degree: Faculty of Biomedical Sciences,BMS,Faculty of Biomedical Sciences,BMSCI_BMS,Faculty of Biomedical Sciences,2012,2012/13,24-Sep-12,Full-time,,,,
RRDBMSSING01,2,Research Degree: Faculty of Biomedical Sciences,BMS,Faculty of Biomedical Sciences,BMSCI_BMS,Faculty of Biomedical Sciences,2011,2011/12,26-Sep-11,Part-time,,,,
RRDBMSSING01,9,Research Degree: Faculty of Biomedical Sciences,BMS,Faculty of Biomedical Sciences,BMSCI_BMS,Faculty of Biomedical Sciences,2013,2013/14,23-Sep-13,Full-time,,,,
RRDBOLSSYS01,4,Research Degree: Systems Biology,MAP,Faculty of Mathematical and Physical Sciences,CMPLX_MAP,Centre for Maths &Phys In Life Sci &Exprmntal Biol,2011,2011/12,26-Sep-11,Full-time,,,,
RRDBOLSSYS01,5,Research Degree: Systems Biology,MAP,Faculty of Mathematical and Physical Sciences,CMPLX_MAP,Centre for Maths &Phys In Life Sci &Exprmntal Biol,2011,2011/12,26-Sep-11,Part-time,,,,
RRDBOLSSYS01,11,Research Degree: Systems Biology,MAP,Faculty of Mathematical and Physical Sciences,CMPLX_MAP,Centre for Maths &Phys In Life Sci &Exprmntal Biol,2013,2013/14,23-Sep-13,Part-time,,,,
RRDBOLSSYS01,10,Research Degree: Systems Biology,MAP,Faculty of Mathematical and Physical Sciences,CMPLX_MAP,Centre for Maths &Phys In Life Sci &Exprmntal Biol,2013,2013/14,23-Sep-13,Full-time,,,,
RRDBOLSSYS01,7,Research Degree: Systems Biology,MAP,Faculty of Mathematical and Physical Sciences,CMPLX_MAP,Centre for Maths &Phys In Life Sci &Exprmntal Biol,2012,2012/13,24-Sep-12,Full-time,,,,
RRDBOLSSYS01,8,Research Degree: Systems Biology,MAP,Faculty of Mathematical and Physical Sciences,CMPLX_MAP,Centre for Maths &Phys In Life Sci &Exprmntal Biol,2012,2012/13,24-Sep-12,Part-time,,,,
RRDBRSSING01,4,Research Degree: Faculty of Life Sciences,BRN,Faculty of Brain Sciences,BRSCI_BRN,Faculty of Brain Sciences,2012,2012/13,24-Sep-12,Full-time,,,,
RRDBRSSMHS01,4,Research Degree: Mental Health Sciences Unit,BRN,Faculty of Brain Sciences,BRSCI_BRN,Faculty of Brain Sciences,2012,2012/13,24-Sep-12,Full-time,,,,
RRDBRSSMHS02,4,Research Degree: Mental Health Sciences Unit,BRN,Faculty of Brain Sciences,BRSCI_BRN,Faculty of Brain Sciences,2012,2012/13,24-Sep-12,Full-time,,,,
RRDCANSHAE01,15,Research Degree: Haematology,MDS,Faculty of Medical Sciences,CANCR_MDS,Cancer Institute,2013,2013/14,23-Sep-13,Full-time,,,,
RRDCANSHAE01,14,Research Degree: Haematology,MDS,Faculty of Medical Sciences,CANCR_MDS,Cancer Institute,2012,2012/13,24-Sep-12,Part-time,,,,
RRDCANSHAE01,11,Research Degree: Haematology,MDS,Faculty of Medical Sciences,CANCR_MDS,Cancer Institute,2011,2011/12,26-Sep-11,Full-time,,,,
RRDCANSHAE01,12,Research Degree: Haematology,MDS,Faculty of Medical Sciences,CANCR_MDS,Cancer Institute,2011,2011/12,26-Sep-11,Part-time,,,,
RRDCANSHAE01,13,Research Degree: Haematology,MDS,Faculty of Medical Sciences,CANCR_MDS,Cancer Institute,2012,2012/13,24-Sep-12,Full-time,,,,
RRDCANSHAE01,16,Research Degree: Haematology,MDS,Faculty of Medical Sciences,CANCR_MDS,Cancer Institute,2013,2013/14,23-Sep-13,Part-time,,,,
RRDCANSING01,13,Research Degree: Cancer Institute,MDS,Faculty of Medical Sciences,CANCR_MDS,Cancer Institute,2013,2013/14,23-Sep-13,Full-time,,,,
RRDCANSING01,14,Research Degree: Cancer Institute,MDS,Faculty of Medical Sciences,CANCR_MDS,Cancer Institute,2013,2013/14,23-Sep-13,Part-time,,,,
